4;arms_factory;1817.00;10.10;1386.00;1.37;0
4;arms_factory;1839.00;11.25;1383.00;4.03;0
4;arms_factory;1831.00;10.95;1384.00;0.42;0
4;arms_factory;1827.00;10.57;1378.00;1.98;0
4;arms_factory;1827.00;10.60;1379.00;6.10;0
4;arms_factory;1835.00;11.10;1387.00;1.02;0
4;industrial_complex;1820.00;10.30;1387.00;5.15;0
4;industrial_complex;1828.00;10.75;1387.00;0.42;0
4;industrial_complex;1835.00;11.10;1385.00;3.09;0
4;industrial_complex;1818.00;10.15;1385.00;5.76;0
4;industrial_complex;1829.00;10.78;1382.00;3.59;0
4;industrial_complex;1832.00;10.98;1383.00;5.15;0
4;air_base;1825.00;10.60;1383.00;1.53;0
4;supply_node;1812.00;9.88;1385.00;0.01;0
4;supply_node;1839.00;11.20;1386.00;2.95;0
4;naval_base;1804.00;9.50;1380.00;-2.55;4326
4;bunker;1813.00;9.85;1387.00;6.26;0
4;bunker;1847.00;11.48;1388.00;4.10;0
4;synthetic_refinery;1816.00;10.07;1389.00;0.49;0
4;fuel_silo;1817.00;10.12;1381.00;3.15;0
4;nuclear_reactor;1805.00;9.80;1377.00;3.76;0
4;floating_harbor;1802.12;9.50;1399.82;0.59;923
9;arms_factory;1927.00;10.62;1254.00;0.74;0
9;arms_factory;1913.00;10.32;1248.00;3.40;0
9;arms_factory;1936.00;10.65;1262.00;6.06;0
9;arms_factory;1914.00;10.05;1222.00;1.34;0
9;arms_factory;1941.00;10.90;1270.00;5.46;0
9;arms_factory;1941.00;10.80;1222.00;1.85;0
9;industrial_complex;1933.00;10.40;1279.00;4.51;0
9;industrial_complex;1933.00;10.50;1263.00;1.24;0
9;industrial_complex;1909.00;9.80;1221.00;3.91;0
9;industrial_complex;1945.00;11.40;1247.00;0.29;0
9;industrial_complex;1946.00;10.88;1223.00;1.85;0
9;industrial_complex;1946.00;11.18;1260.00;5.98;0
9;air_base;1963.00;11.10;1232.00;0.90;0
9;supply_node;1935.00;10.30;1210.00;1.49;0
9;supply_node;1932.00;10.57;1272.00;5.53;0
9;supply_node;1913.00;10.03;1219.00;2.19;0
9;supply_node;1953.00;11.18;1227.00;3.66;0
9;supply_node;1905.00;10.10;1246.00;1.42;0
9;supply_node;1926.00;10.57;1256.00;2.90;0
9;supply_node;1951.00;11.50;1251.00;5.84;0
9;supply_node;1928.00;10.57;1232.00;3.59;0
9;naval_base;1922.00;9.50;1206.00;-0.79;3921
9;naval_base;1892.00;9.50;1240.00;-0.74;4066
9;naval_base;1912.00;9.50;1210.00;0.20;3921
9;bunker;1942.00;10.90;1269.00;2.52;0
9;bunker;1913.00;10.30;1247.00;4.08;0
9;bunker;1948.00;10.82;1221.00;1.92;0
9;bunker;1915.00;10.18;1220.00;6.04;0
9;bunker;1922.00;10.68;1250.00;0.96;0
9;bunker;1945.00;10.55;1211.00;3.98;0
9;bunker;1918.00;10.45;1238.00;0.36;0
9;bunker;1960.00;11.38;1254.00;3.03;0
9;synthetic_refinery;1908.00;9.95;1237.00;6.20;0
9;fuel_silo;1950.00;10.93;1222.00;1.48;0
9;radar_station;1930.00;10.78;1240.00;2.21;0
9;nuclear_reactor;1924.00;10.40;1231.00;4.65;0
28;nuclear_reactor;2131.00;10.80;1172.00;0.21;0
30;supply_node;2268.00;11.43;1490.00;1.04;0
32;supply_node;2205.00;12.12;1416.00;3.57;0
32;bunker;2204.00;11.93;1412.00;0.25;0
32;radar_station;2206.00;12.12;1417.00;4.21;0
32;nuclear_reactor;2209.00;12.10;1415.00;1.96;0
34;air_base;1920.00;10.98;1551.00;4.47;0
38;air_base;2729.00;11.60;1444.00;6.19;0
38;supply_node;2732.00;11.70;1443.00;4.52;0
38;bunker;2730.00;11.65;1444.00;0.41;0
38;radar_station;2734.00;11.80;1445.00;5.16;0
40;air_base;2655.00;11.05;1330.00;4.63;0
41;air_base;2573.00;11.78;1561.00;5.14;0
41;radar_station;2575.00;11.30;1553.00;2.12;0
42;supply_node;2714.00;11.45;1115.00;1.82;0
43;air_base;1832.00;11.05;1417.00;1.73;0
46;synthetic_refinery;2202.00;9.80;1221.00;1.90;0
46;radar_station;2199.00;9.85;1222.00;3.26;0
47;supply_node;2404.00;11.93;1234.00;1.85;0
47;bunker;2408.00;11.82;1234.00;2.85;0
47;radar_station;2404.00;11.98;1235.00;1.39;0
49;air_base;2407.00;11.80;1487.00;1.90;0
49;supply_node;2405.00;11.70;1489.00;5.50;0
49;fuel_silo;2409.00;11.98;1492.00;2.41;0
49;radar_station;2406.00;11.75;1490.00;1.33;0
51;arms_factory;2749.00;11.73;1382.00;0.08;0
51;arms_factory;2748.00;11.70;1381.00;2.75;0
51;arms_factory;2750.00;11.60;1385.00;5.41;0
51;arms_factory;2751.00;11.75;1384.00;2.14;0
51;arms_factory;2752.00;11.85;1383.00;4.81;0
51;arms_factory;2751.00;11.88;1382.00;1.19;0
51;industrial_complex;2750.00;11.88;1381.00;3.85;0
51;industrial_complex;2750.00;11.53;1386.00;0.59;0
51;industrial_complex;2748.00;11.43;1385.00;1.80;0
51;industrial_complex;2748.00;11.50;1384.00;5.92;0
51;industrial_complex;2749.00;11.68;1383.00;1.19;0
51;industrial_complex;2748.00;11.65;1382.00;3.86;0
51;air_base;2748.00;11.70;1381.00;0.24;0
51;supply_node;2750.00;11.75;1383.00;2.15;0
51;bunker;2750.00;11.70;1384.00;5.93;0
51;synthetic_refinery;2749.00;11.48;1386.00;4.37;0
51;fuel_silo;2748.00;11.43;1385.00;0.75;0
51;radar_station;2751.00;11.65;1385.00;2.80;0
51;nuclear_reactor;2749.00;11.73;1382.00;2.81;0
28;arms_factory;2135.00;10.57;1168.00;2.04;0
28;arms_factory;2131.00;10.53;1166.00;5.06;0
28;arms_factory;2133.00;10.65;1169.00;6.26;0
28;arms_factory;2130.00;10.60;1167.00;4.10;0
28;arms_factory;2132.00;10.70;1170.00;0.48;0
28;arms_factory;2134.00;10.57;1168.00;2.04;0
28;air_base;2130.00;10.68;1169.00;2.55;0
